time,accx,accy,accz
6380,    56,    -6,   -55
6391,    59,     2,   -63
6400,    71,    14,   -67
6410,   106,    16,   -84
6420,   124,    20,  -151
6430,   128,    13,  -236
6440,   123,   -14,  -281
6450,   127,   -22,  -235
6460,   108,   -20,  -102
6471,    86,     1,    55
6481,    75,    33,   183
6491,    50,    32,   222
6501,    51,     9,   201
6511,    59,   -12,    92
6521,    75,   -19,   -24
6531,    88,   -21,  -165
6541,   101,   -24,  -262
6551,   101,   -21,  -291
6561,   101,    -3,  -236
6571,    93,    21,  -102
6581,    92,    44,    37
6591,    93,    40,   119
6600,    64,     3,   132
6610,    52,   -30,    62
6620,    56,   -45,   -15
6630,    62,   -32,   -76
6641,    70,   -20,  -112
6651,    68,     8,   -93
6661,    70,     4,   -95
6671,    73,    15,   -91
6681,    64,    11,   -80
6691,    75,   -10,   -37
6701,    76,    -2,   -12
6711,    87,    25,    13
6721,    84,    35,     0
6731,    81,    23,    -9
6741,    75,     7,   -24
6751,    80,    11,   -26
6761,    85,    29,   -19
6771,    79,    34,    14
6781,    63,    13,    38
6790,   143,    76,    19
6800,    40,   -25,   -21
6810,    35,    -6,   -47
6820,    42,   -12,   -89
6830,    46,   -25,  -121
6841,    48,   -17,  -132
6851,    56,     9,  -126
6860,    57,    21,   -96
6871,    53,     2,   -65
6881,    55,   -12,   -54
6891,    60,   -15,   -49
6901,    64,    -9,   -45
6911,    66,    -4,   -56
6921,    62,     2,   -68
6931,    60,     2,   -93
6941,    56,     4,   -86
6951,    53,     2,   -49
6961,    53,    10,   -27
6971,    51,    15,   -22
6981,    54,     7,   -42
6992,    60,    -6,   -74
7001,    58,   -13,   -82
7011,    57,    -5,   -85
7021,    61,    -3,   -84
7031,    61,    -1,   -63
7041,    60,   -10,   -52
7051,    57,   -12,   -37
7061,    49,    -1,    -9
7072,    50,     0,    14
7082,    50,     5,    25
7091,    50,     1,    10
7101,    50,    -7,   -34
7111,    51,    -8,   -72
7121,    53,    -9,   -89
7131,    56,    -7,   -88
7141,    54,     0,   -67
7151,    56,     8,   -47
7161,    59,     1,   -35
7172,    60,    -6,   -35
7182,    57,    -3,   -50
7192,    56,    -1,   -53
